100 1000
1 28 79
0 62 20738
0 40 6877
1 2 98
1 5 92
1 18 79
0 9 85851
1 27 68
1 29 79
1 28 99
1 63 85
1 6 86
1 25 93
1 16 97
0 46 23383
0 95 42125
0 85 26125
1 22 78
1 38 95
0 10 59469
0 94 66572
1 43 81
1 3 51
0 67 57051
1 3 57
1 3 63
0 31 96385
0 97 47264
1 12 59
0 59 59046
1 30 30
1 0 98
0 93 30452
0 91 12161
1 47 91
1 24 54
1 49 73
1 24 44
0 93 89960
0 79 38427
0 92 464
1 5 28
0 21 59137
1 15 99
1 42 86
0 2 30709
1 23 99
0 77 27340
1 13 61
0 55 27255
0 93 178
0 34 74532
1 16 99
1 36 68
0 93 59955
0 54 43535
1 9 97
0 6 9765
0 51 23740
0 21 28273
1 0 91
0 29 56894
0 99 23362
1 3 54
0 31 96526
0 39 89564
0 66 49939
0 50 60975
1 60 83
0 41 2530
0 95 8192
1 46 97
1 5 99
0 3 49838
1 12 76
1 75 90
0 76 43167
1 8 59
1 59 98
1 9 82
1 6 43
1 6 26
0 96 79834
0 27 7244
1 21 65
1 44 72
0 10 90412
1 17 91
1 45 81
0 45 16782
0 94 54505
0 51 93787
1 66 81
0 17 3790
1 37 75
1 23 97
0 16 80754
1 10 68
1 3 90
1 14 96
0 39 51503
0 65 49971
0 61 61065
1 3 96
0 68 93361
0 66 66056
0 5 1862
1 1 59
1 72 88
1 57 92
1 49 94
1 8 53
0 46 45237
0 80 21283
0 64 11138
0 23 58929
0 22 3078
0 52 24430
1 22 76
1 26 91
0 40 66723
1 1 94
0 13 33085
0 13 46539
1 81 88
1 9 67
0 82 15681
1 14 76
0 16 40173
1 42 81
0 11 22294
1 49 98
1 46 73
1 1 48
1 39 97
0 62 98294
1 1 71
0 99 89890
0 31 78363
0 68 94035
1 35 71
1 27 80
1 5 62
1 50 99
1 0 39
0 87 5289
1 14 99
0 83 90677
0 62 57808
0 46 96420
1 5 16
0 45 39827
1 10 52
0 56 5106
0 69 29302
0 34 26274
1 31 90
1 10 52
1 2 66
0 56 98581
0 97 32092
0 25 12912
1 2 86
0 33 17033
1 3 73
0 52 22535
1 3 37
1 49 86
0 92 41259
1 5 97
1 12 68
1 3 16
0 87 95590
1 38 88
1 0 71
1 11 93
1 11 80
1 0 83
1 46 81
1 43 86
1 3 84
1 69 98
1 48 88
1 45 82
1 0 69
1 21 92
0 65 79110
0 68 20859
1 47 87
1 9 66
0 42 52620
1 23 38
0 51 49602
0 32 29362
1 17 84
0 98 8250
1 15 85
1 16 41
1 8 98
1 55 95
1 13 51
1 9 33
1 64 87
1 39 99
0 32 10503
1 17 77
1 8 81
0 17 44068
1 7 66
1 12 53
1 81 87
1 10 85
1 10 35
0 44 35964
1 7 58
1 15 63
0 88 88891
1 8 41
0 79 92637
1 4 53
0 56 6556
0 46 88035
