32 100
1 9 23
0 1 28
0 13 29
0 17 36
0 18 32
1 5 17
1 1 26
1 13 20
1 8 12
1 1 18
0 11 27
1 6 15
1 12 30
0 13 22
1 3 31
0 8 31
0 24 25
1 4 24
1 2 18
1 12 14
0 10 13
0 0 43
0 7 31
1 4 24
1 6 31
0 10 2
1 16 24
0 26 23
1 0 22
0 24 25
1 2 5
0 4 4
0 24 8
0 17 29
1 2 20
0 6 37
0 19 29
0 9 38
1 14 22
0 2 5
1 18 20
0 0 32
0 3 27
1 25 26
1 25 25
0 3 18
1 16 21
0 19 38
0 28 6
1 15 26
0 19 38
1 18 30
1 18 28
1 20 24
0 16 18
0 20 12
0 26 7
1 13 14
0 24 49
0 5 24
1 8 9
0 19 17
0 19 4
0 4 33
0 8 46
1 19 30
0 1 39
0 16 47
0 16 49
0 6 38
0 4 32
1 24 26
0 22 22
0 21 36
0 7 35
0 0 42
1 13 27
1 10 11
1 8 10
0 15 37
1 9 10
0 3 19
0 5 7
0 7 38
0 25 25
0 11 3
0 30 19
1 22 22
0 31 44
1 9 30
0 29 2
0 2 19
1 5 6
1 4 9
0 19 25
1 23 30
1 0 19
1 16 22
0 20 46
0 14 8
