1001 10000
0 875 39608
0 952 15413
1 39 425
0 449 56150
1 46 776
1 344 928
1 40 477
0 213 80952
0 696 92170
0 633 88803
1 448 847
1 17 396
1 8 58
1 331 680
0 386 46726
1 11 798
0 320 95292
0 577 46157
0 328 26729
1 95 333
1 547 892
1 529 838
1 224 611
1 201 919
0 205 99061
0 848 41747
1 522 713
1 71 680
0 492 9397
1 106 428
0 909 65283
0 352 98934
1 77 445
1 577 835
0 186 4817
1 249 884
0 649 85561
0 41 28177
0 718 61160
0 821 98551
1 177 828
0 609 10919
0 706 96172
1 164 808
0 490 45666
1 469 990
0 234 32094
1 213 484
0 212 4767
1 45 757
0 745 52572
1 230 993
0 525 724
1 107 485
0 880 30202
1 89 856
0 412 40180
0 245 76661
0 131 36352
1 107 861
1 198 775
1 768 954
1 706 902
0 121 71329
0 665 16831
0 560 40298
0 20 44498
1 87 845
0 488 4596
1 161 899
1 548 922
0 358 23944
0 283 73222
0 856 68735
1 128 844
1 90 470
1 401 847
1 520 941
0 510 47382
0 490 8958
0 794 171
1 18 242
0 240 71151
1 100 379
0 216 15944
1 118 660
1 338 882
0 754 49351
0 68 64781
1 603 819
1 193 398
0 71 75404
0 345 97124
1 110 430
0 785 99036
0 784 19691
0 179 81442
1 73 484
1 273 790
1 309 664
0 51 22779
1 609 961
1 248 437
0 221 44374
0 921 28276
1 49 739
1 544 596
0 780 29571
1 245 945
1 47 978
1 220 989
0 224 69814
1 60 988
0 434 6236
1 77 942
0 89 42514
0 579 53251
0 740 93927
0 617 87705
1 350 655
1 129 635
1 22 499
0 403 90443
0 98 25086
0 162 53770
0 860 61117
1 187 987
1 330 940
0 495 98997
1 335 895
1 558 875
1 120 886
0 627 67786
1 425 787
0 908 38230
0 303 61837
1 555 796
1 719 1000
0 182 17914
0 50 43966
1 276 1000
0 881 16380
1 229 929
0 753 10620
0 439 25153
1 30 671
0 34 29929
1 639 883
0 50 12113
0 867 57267
0 977 52465
0 269 90221
0 248 82473
0 399 18109
1 47 759
1 470 867
1 38 743
1 156 893
0 38 36151
1 50 413
0 896 38568
1 272 952
1 323 617
0 177 41155
1 97 913
1 264 971
0 499 93059
0 172 77724
1 396 617
0 46 68333
0 550 90306
0 546 76864
1 118 885
1 19 544
1 352 971
1 90 832
1 103 891
0 635 53168
1 158 661
1 1 608
1 538 699
0 455 21499
1 411 546
0 116 10339
0 324 1213
0 285 60286
1 59 937
0 460 28652
0 482 54025
0 546 79229
0 830 74506
0 415 71718
0 654 55885
0 80 31365
0 979 16064
1 241 811
0 57 56628
0 189 17829
1 204 417
0 581 19024
1 78 758
1 73 719
0 508 69351
0 932 44683
1 342 608
1 42 508
0 34 39355
1 676 889
0 123 37613
0 237 54934
0 321 28862
1 259 806
1 798 978
1 151 834
0 296 76007
1 38 169
0 228 66243
1 670 932
0 820 88489
0 612 87270
0 577 74939
1 262 550
0 788 48080
1 302 782
1 210 423
0 787 54476
1 168 694
1 468 835
0 790 55238
1 406 758
0 451 85029
0 40 81071
0 64 51985
0 393 19741
0 632 34646
0 448 15672
1 380 897
0 728 76903
0 477 90436
0 848 47294
1 274 846
0 195 44642
0 11 19806
0 741 93566
1 49 701
1 332 946
1 509 883
0 704 52420
1 271 903
1 274 498
1 87 460
0 316 82198
1 170 832
1 273 897
1 205 461
0 692 8740
1 211 604
1 219 748
0 734 2395
0 389 44984
0 258 61118
0 234 63304
1 369 988
1 64 727
0 502 60951
0 52 59271
1 197 554
0 658 15617
0 837 54433
1 17 832
1 243 919
1 230 827
1 393 756
1 8 506
1 369 860
0 526 68489
1 26 909
1 480 897
1 573 989
1 14 115
1 332 912
0 44 65565
0 611 57091
0 248 22178
1 44 909
0 372 15152
1 92 561
1 762 918
0 152 28327
0 255 94101
0 562 17923
1 115 987
0 458 64058
1 225 783
1 44 574
0 948 62832
0 223 93184
0 156 84369
1 307 777
1 627 981
0 947 3178
1 217 298
0 857 45271
1 75 851
1 140 412
0 10 55835
0 303 48406
1 8 326
0 754 48028
1 125 367
1 298 819
0 924 82266
0 374 28793
1 22 429
0 621 687
0 946 88483
1 60 1000
0 529 6585
1 572 1000
0 283 87062
1 1 373
1 301 953
1 716 845
0 394 89931
1 120 987
1 199 540
1 250 802
1 318 789
1 219 659
0 104 75558
0 399 75448
0 955 58953
0 249 64517
1 107 907
0 98 18780
0 587 30197
1 309 766
0 994 47029
0 69 31825
1 453 652
0 0 41578
0 176 65136
1 129 734
1 230 771
0 296 8842
1 7 579
1 18 955
1 245 713
0 396 23692
0 45 4885
1 24 948
0 641 56560
1 479 990
1 294 911
0 492 36618
1 446 628
1 157 913
0 994 38402
0 86 44660
0 824 19904
1 350 909
0 137 44743
1 383 724
0 482 55968
0 574 74013
1 329 907
0 390 41451
0 865 57766
0 458 53939
0 936 40094
1 111 426
1 125 761
0 810 83713
0 326 14844
1 161 901
0 861 82496
0 518 95512
1 283 780
0 778 92430
0 764 18124
1 708 986
0 310 71542
1 335 798
1 0 661
1 393 939
0 671 28345
0 336 67694
0 615 34948
1 360 755
0 245 87232
1 911 942
1 41 592
0 5 36788
0 37 93537
0 955 55222
1 375 742
0 527 29604
0 69 2790
1 60 779
0 921 69950
0 407 96040
0 452 2621
0 138 32816
1 32 711
0 962 74085
0 551 34443
1 392 840
1 280 491
0 247 6278
1 255 993
1 16 740
1 71 732
1 35 546
0 117 20847
0 306 79691
0 322 20417
0 658 59319
1 66 999
0 921 43931
0 482 89941
0 57 13892
0 407 57208
1 239 948
1 6 609
1 164 490
0 125 55338
0 469 69203
1 383 970
0 251 59145
0 570 69218
0 426 9090
1 256 846
1 9 515
1 229 656
1 32 828
1 57 752
0 297 30555
0 495 67756
1 136 597
1 177 960
0 510 18785
0 569 515
0 611 36759
1 7 899
1 374 848
0 48 88335
0 452 18601
1 277 681
0 343 77346
1 620 941
0 703 25272
0 36 71231
0 128 29299
1 6 813
1 287 736
1 656 865
0 562 28457
0 322 96153
0 205 60013
0 813 34213
1 1 538
0 814 40466
1 292 664
1 214 937
1 491 978
0 194 96730
0 512 65705
0 715 92146
0 102 56921
0 319 15912
0 437 37611
0 917 71603
1 528 933
0 914 24131
1 847 994
1 359 966
0 286 73161
0 752 79826
0 312 73640
0 108 62399
0 697 88048
1 43 665
0 61 55278
0 143 90806
0 274 42314
0 553 27267
1 185 954
1 529 974
1 11 826
1 12 858
0 315 37555
0 236 69344
0 235 41700
0 303 66911
0 61 65321
1 59 305
0 327 55946
1 558 844
1 735 997
0 678 4265
1 146 495
1 0 703
1 243 792
1 215 667
0 130 52543
1 440 984
1 583 804
0 182 58856
0 178 4520
1 673 945
0 369 75665
0 120 10271
1 712 992
0 182 26175
0 984 99320
1 948 995
0 740 27388
1 222 765
0 220 2965
1 472 979
0 554 99714
1 287 824
0 944 57331
1 230 899
0 32 78660
0 800 95512
1 175 935
1 829 985
0 354 46578
0 196 67312
1 518 977
1 1 519
0 891 12177
1 48 886
1 310 559
0 981 69179
1 385 799
1 49 420
1 262 415
1 619 890
0 856 42418
1 141 793
0 752 25849
1 370 949
1 98 763
1 640 955
1 143 810
0 437 92855
0 358 44938
1 436 616
0 153 66154
0 992 14845
1 47 783
0 663 3616
0 443 76396
1 402 789
0 525 27944
1 147 884
0 618 81369
0 47 77381
1 309 842
1 215 949
0 336 99544
1 545 831
0 346 71143
0 676 55511
0 340 18972
0 36 13716
1 76 918
1 1 410
1 134 403
0 88 92741
0 53 31649
0 151 98219
1 198 933
0 78 60805
1 3 724
1 3 417
0 178 63119
1 133 899
0 518 95512
1 317 917
1 186 927
0 821 44523
1 458 522
1 85 916
0 809 32906
0 63 65919
1 50 403
1 368 975
0 813 32242
0 729 96753
0 459 12534
0 832 197
0 437 82996
0 464 19462
1 93 963
1 188 806
0 148 32399
1 774 949
1 671 977
1 11 783
0 536 39656
1 247 983
1 22 778
1 85 932
0 327 90742
1 436 681
0 309 96533
1 111 996
1 772 979
0 510 223
0 174 45995
0 678 90984
1 235 717
0 400 25385
0 540 53215
1 245 856
0 119 24249
0 817 66756
1 367 993
0 539 67433
1 85 696
1 52 922
1 243 665
1 2 328
1 664 971
0 684 89961
0 490 18078
0 789 89729
1 4 722
0 352 97691
1 649 678
1 211 635
0 395 25164
1 31 384
0 896 93921
1 422 938
0 411 64161
0 390 67944
0 664 82301
1 190 911
0 632 32052
0 63 82660
0 642 2820
0 296 17440
0 883 48037
1 142 793
1 247 913
1 742 908
0 699 58746
1 642 699
1 677 842
1 198 767
1 151 992
1 85 825
0 791 2936
0 507 79022
0 928 20306
1 180 879
1 949 996
0 981 17568
1 387 456
0 648 50097
0 494 56619
1 401 913
1 264 833
1 352 435
1 49 519
1 383 707
0 346 69899
0 473 51554
0 478 48891
0 470 80338
0 447 23404
0 453 23679
1 157 229
1 126 992
1 153 541
1 551 903
0 152 36829
1 107 524
0 783 55957
1 437 704
1 25 775
0 118 65126
0 249 16364
0 610 7964
1 15 962
1 234 943
1 36 409
0 825 83288
0 530 49712
1 155 514
0 14 78247
1 332 775
0 421 81667
0 643 38302
0 172 77192
0 976 61324
1 245 656
0 335 92947
0 612 15717
0 720 13315
0 181 92073
1 29 384
0 510 27355
1 909 975
0 315 27440
1 215 734
0 985 4336
0 283 46252
0 886 47130
0 449 91017
1 115 790
0 960 12710
0 626 92995
0 262 2161
0 262 76192
0 175 71433
0 377 21164
0 15 94541
0 950 68155
1 303 943
0 505 73836
1 396 681
1 10 493
1 912 995
0 679 27305
0 701 39176
0 324 91875
0 375 64564
0 936 64735
0 858 55357
0 551 79914
0 554 61814
0 971 45932
0 109 6290
1 646 967
0 310 1946
1 61 965
0 8 60144
0 86 15660
0 337 8161
1 114 967
1 551 815
0 284 14791
1 647 888
0 684 66397
0 42 69022
0 394 83154
0 780 58149
1 8 974
1 365 509
0 362 1315
1 4 902
0 3 56625
0 770 50345
0 649 24623
0 506 93646
1 230 938
1 75 876
1 542 981
0 548 30946
0 651 61047
0 163 80365
1 487 928
1 156 868
1 778 911
1 36 664
0 501 49245
1 229 826
0 792 56455
0 359 66663
0 319 82146
0 107 66124
0 895 85777
1 215 486
0 451 54541
0 953 49628
0 910 98459
0 980 90766
0 953 79461
0 566 85896
0 205 12631
0 613 13313
1 819 874
0 628 821
0 204 5763
0 556 36649
0 647 31477
0 824 69980
0 127 26266
0 243 84744
0 819 24379
0 781 87439
1 592 817
0 723 34909
1 141 936
1 77 183
0 911 43578
1 271 692
1 118 277
0 810 82400
1 427 945
1 384 979
1 235 958
0 535 1066
1 104 733
0 644 14596
0 349 53939
0 40 24646
0 606 60024
1 184 902
1 50 716
0 402 71744
0 4 59443
0 244 65960
1 360 538
0 41 51136
0 986 88249
0 669 50947
1 223 785
0 137 30174
1 287 917
0 92 76698
1 50 734
0 321 23298
0 113 2067
1 116 863
1 282 895
1 35 979
0 978 23833
0 778 53935
0 728 59428
1 423 698
1 542 994
0 254 78513
1 93 622
0 824 69531
1 54 745
0 826 10394
0 180 43588
0 612 16240
1 316 468
0 128 1723
0 104 20195
1 58 364
0 325 57147
1 125 203
0 37 2742
1 1 263
1 503 886
0 497 44101
0 375 2221
0 55 75105
0 307 55608
1 75 902
1 74 813
1 544 799
1 655 825
0 34 69129
0 110 6726
0 579 36093
0 424 6706
0 103 20271
0 568 64834
0 807 61138
0 738 98402
1 374 859
0 454 88016
1 884 921
1 497 839
1 295 938
0 249 87369
1 105 468
1 535 943
1 203 664
0 462 58504
1 685 873
1 237 988
1 63 718
0 592 77976
0 35 91263
1 22 210
0 488 7037
1 492 993
0 606 84116
1 429 695
1 245 962
0 797 21500
1 58 261
0 310 76310
0 737 6373
0 217 25106
0 964 58424
1 470 559
0 372 56332
0 888 72972
1 678 768
0 167 86321
1 170 898
0 671 10006
1 16 491
0 107 14216
0 241 51812
0 24 22810
0 694 15226
1 138 427
0 539 32215
1 204 940
0 809 70365
1 27 753
1 343 603
1 689 904
1 318 812
0 966 8799
0 984 2475
0 940 80789
0 926 29278
0 879 20078
0 636 32877
0 534 81443
0 303 61413
1 38 996
1 292 843
1 225 839
0 489 77522
1 1 258
0 214 25891
0 796 8332
0 451 82434
0 860 99729
0 697 52954
0 458 98639
0 959 91510
0 560 33477
1 204 998
1 487 846
1 0 221
0 506 44132
0 864 96880
1 25 742
0 532 95296
0 706 89449
0 298 35599
1 206 834
1 69 961
0 140 25316
0 259 33519
0 778 72245
0 409 93704
1 16 543
1 91 677
1 883 967
0 14 57455
0 112 43788
0 65 3802
1 3 997
0 930 87490
1 278 687
0 670 93216
0 597 59567
1 43 862
1 179 943
0 745 77717
0 181 37058
0 885 52597
1 125 689
0 643 52962
1 5 640
1 93 647
0 870 99393
1 605 851
1 54 692
1 654 982
0 119 16374
0 17 96722
0 130 30559
1 91 640
0 324 27545
1 42 299
1 711 956
1 40 940
1 288 621
1 848 974
0 776 80189
0 255 5826
0 454 41557
1 267 783
1 161 799
1 607 683
0 143 67582
0 304 25751
0 473 90197
0 72 97556
0 931 95821
1 633 982
0 557 41432
0 569 76679
1 4 522
0 835 60899
1 421 813
0 941 20098
0 175 59395
0 924 65649
1 237 877
1 29 188
1 262 826
0 586 66910
0 910 51269
0 560 46962
1 345 922
0 717 86414
0 427 54556
1 488 690
0 846 50836
1 414 980
1 112 791
0 817 22911
0 496 57278
1 332 908
0 922 44317
1 6 643
0 369 81040
1 243 530
0 975 54153
1 501 882
0 886 58279
1 5 260
1 71 700
1 58 147
1 111 943
1 307 719
0 519 52304
0 56 615
1 130 408
1 75 744
0 2 64011
1 82 921
1 108 628
1 445 938
0 249 60343
0 624 64688
0 130 8368
1 133 622
0 131 30680
1 52 980
1 693 789
1 4 341
0 408 88056
0 103 13833
0 309 90630
0 623 58530
1 61 571
0 668 33646
0 86 23504
1 8 436
1 47 984
0 780 82964
0 209 2748
0 561 38640
1 555 982
1 390 804
1 408 865
1 5 154
0 301 35395
0 17 95462
0 372 56752
0 638 70270
0 701 71858
1 63 872
1 206 796
0 855 18042
1 525 696
1 431 653
0 493 90564
0 25 27452
1 556 867
1 293 801
1 5 617
0 526 31217
1 817 913
1 363 716
0 139 8001
1 239 596
1 462 774
1 19 244
0 48 23284
0 703 12785
1 274 919
1 130 656
0 896 9210
0 562 23024
1 240 879
0 416 10706
0 44 57851
0 448 24674
1 50 418
1 40 944
0 305 81276
1 48 927
1 775 992
0 842 69746
0 183 25857
0 85 15056
0 661 22777
1 413 875
0 339 47460
1 331 961
0 963 17942
0 830 94642
0 177 10061
0 245 99411
1 563 969
1 402 970
1 148 869
1 180 771
1 73 579
0 331 87280
0 923 16308
0 146 77510
1 265 315
0 789 17885
1 202 741
1 42 598
1 176 841
1 102 986
0 534 60577
1 214 1000
0 241 6495
0 394 48426
1 9 302
0 189 57199
0 126 24465
1 80 578
1 8 948
1 175 723
0 134 64078
0 309 45623
0 88 19273
1 64 629
0 910 95972
0 588 16655
0 281 90697
0 329 14482
1 35 660
1 300 744
0 240 80694
0 196 91583
0 379 34755
1 768 972
0 638 88275
1 28 900
1 581 963
1 12 845
0 729 55540
0 39 53771
0 150 31427
0 662 93019
0 954 39394
0 182 69917
0 0 70070
0 432 54207
1 240 921
1 165 652
1 65 374
0 838 8339
1 335 926
0 578 13076
0 285 8129
0 202 6311
0 431 56023
1 551 791
0 726 25150
0 238 88028
1 16 801
0 261 25109
0 271 43814
0 497 19863
1 292 946
1 91 822
0 859 72769
0 29 22895
1 461 585
1 12 912
0 864 13705
1 399 904
1 792 990
1 18 892
0 310 18566
1 6 452
0 584 79933
1 99 385
1 112 917
1 790 973
1 68 890
0 126 55822
0 290 83847
1 438 742
0 335 91101
0 470 20061
1 155 876
1 157 655
0 389 79244
0 395 52538
1 34 759
1 100 790
1 625 953
1 53 593
0 498 14126
0 754 39147
1 36 234
0 662 93490
1 148 793
1 27 107
0 999 2043
0 127 2529
0 868 99707
1 75 950
0 291 34127
0 15 4041
1 74 595
0 601 37211
0 573 20566
0 625 43656
0 915 74693
0 770 45256
0 678 92479
0 191 7585
0 762 36319
0 423 54175
1 282 862
1 643 852
0 629 43083
1 692 923
1 162 850
1 72 793
1 267 966
0 561 79919
0 821 6403
0 733 67977
1 50 785
1 222 922
1 86 380
0 951 90522
0 198 46125
1 563 968
1 2 207
0 454 23754
0 152 98752
0 39 48056
1 336 719
0 960 16519
0 228 67391
1 363 514
1 360 925
1 215 452
1 521 937
0 953 40442
1 481 977
0 276 1243
1 202 456
0 27 663
0 236 84899
1 28 741
1 91 885
1 43 887
0 75 15793
1 484 898
1 48 119
0 519 17851
0 754 90119
0 218 88286
0 619 46942
0 698 98504
0 641 94485
1 423 622
1 6 993
1 24 596
0 358 43719
0 550 98082
0 292 77661
0 735 4294
0 675 28167
0 47 26341
0 780 26652
1 132 442
1 182 972
1 97 702
1 49 773
1 636 694
1 287 901
1 199 672
0 144 23766
1 58 766
1 154 611
0 724 69989
0 35 16207
0 483 34927
0 724 18549
0 300 49890
1 163 763
0 400 36701
1 170 918
1 8 730
1 29 638
1 353 938
1 435 692
1 222 960
0 72 12144
0 598 97501
1 274 538
0 567 95168
0 378 26068
1 133 845
1 67 646
0 210 97346
0 432 44029
1 92 939
0 108 44456
1 84 953
1 92 667
1 27 843
0 772 77117
0 387 16444
1 718 832
1 386 779
1 66 915
1 629 947
0 200 13916
1 14 259
0 806 26717
1 149 823
0 454 56047
1 327 539
0 852 46343
1 118 851
1 87 787
1 268 782
1 27 995
0 483 60868
1 43 791
1 53 800
1 104 982
1 27 593
0 759 45316
0 241 25601
0 159 51550
1 575 815
0 589 54187
0 592 4630
1 153 977
1 38 561
1 237 850
0 813 46330
1 400 723
0 668 80762
1 266 845
1 76 140
0 898 93795
0 437 36110
1 1 136
0 798 55347
0 657 78450
0 274 30121
1 921 997
1 123 750
0 341 67482
0 403 81864
0 69 35149
0 235 32124
1 10 713
0 779 61597
0 989 32132
1 25 785
1 390 438
0 15 29064
1 304 792
0 109 65573
1 566 866
0 872 69018
1 837 949
0 388 33818
0 526 88118
1 38 594
1 95 596
1 14 291
0 857 11432
1 233 762
1 156 908
1 836 943
0 873 71240
0 132 17645
0 860 32643
1 110 706
1 61 103
0 712 21134
1 138 378
1 295 943
1 66 964
1 381 804
0 296 61066
1 24 466
1 66 387
1 349 727
0 291 36369
0 275 27830
0 821 92280
0 611 35696
1 477 945
0 690 55186
1 430 999
1 176 346
0 823 36735
1 55 664
1 336 646
1 517 955
0 130 35892
0 511 66437
1 586 979
0 884 63344
1 238 449
1 110 681
0 618 70267
1 633 665
1 79 641
0 511 35202
1 245 924
1 686 980
0 53 69765
0 356 75389
1 351 998
0 39 68726
1 102 703
1 149 735
0 406 43935
1 16 924
1 369 971
1 562 775
1 310 937
1 81 792
1 924 958
0 527 44573
0 620 18462
1 157 986
1 108 1000
0 194 29730
0 726 60956
0 859 85911
0 250 37144
1 176 959
1 492 971
0 929 96120
1 28 772
0 19 17848
0 763 20912
