100000 100000
0 1844 635931
0 80658 513243
1 2205 93057
1 13078 67027
1 229 6690
0 38699 60759
1 25672 53606
0 96758 856860
0 37851 463252
1 28971 29007
0 80603 938878
0 17111 212124
1 65626 75327
0 16956 548750
0 56635 492354
0 60913 350300
1 5288 52028
0 79129 799316
0 30134 656419
0 62312 59209
0 23951 739860
0 45864 49053
0 73083 614876
1 91628 96561
0 70771 531976
0 15836 616030
0 97632 709947
1 64407 95044
1 71345 89836
1 12985 14529
1 50665 86811
1 33440 92666
0 54676 687627
1 2002 35099
1 18705 96631
0 20707 972686
0 80175 181666
0 17557 396276
1 84818 92371
1 56354 81553
1 23290 71414
1 45555 84526
0 54168 394826
0 37580 566003
1 20957 79353
1 35272 40385
0 33177 197028
0 13959 629138
1 21437 49185
0 35499 293738
1 1707 65646
1 43158 60218
0 16584 758697
0 62442 15149
0 56803 520087
0 63060 413355
1 17701 49912
0 48156 53349
0 54202 73616
0 14068 731439
1 33208 40583
0 63430 431568
0 71690 717932
1 4776 51235
0 60390 541076
1 45977 99227
1 52578 89016
1 53815 86662
1 46115 78138
0 28963 19420
0 88063 828185
0 73380 119542
0 95787 89498
0 92859 837950
0 17976 764894
0 16773 768926
1 77439 85296
1 54760 65796
1 1143 3557
0 58185 141850
0 84260 404778
1 73138 78103
0 81226 968416
1 15641 34985
1 36792 92326
0 18288 288998
1 40907 87796
0 85881 989501
0 73991 720428
1 37918 49051
1 30230 43477
0 39199 652457
1 4500 68888
1 32692 32948
0 75193 479367
1 49222 98527
0 48874 311116
0 22913 412926
0 795 404157
0 66624 700706
0 91765 368681
0 55891 282430
1 3159 5000
1 17991 38519
0 34338 774101
0 88976 128823
0 49181 468716
0 32970 214885
0 67422 892875
1 27715 39341
1 70137 85458
1 78412 81898
1 42992 86609
0 45830 58971
0 80745 602137
0 63358 285673
0 47874 913580
1 59111 70853
0 48772 44996
0 83643 956435
1 17863 72952
0 96655 547465
0 98199 649311
1 4047 5242
0 18169 191689
1 37398 55700
1 5251 97426
1 561 74620
0 61499 971397
0 53579 274074
0 20964 498558
1 10380 91287
1 57827 99780
1 43121 89225
1 14001 67864
1 28451 67486
0 38812 816618
1 56796 62947
0 78005 218774
1 61455 76621
1 61216 99538
0 30272 292514
1 11250 29940
1 15428 70797
1 34233 99510
1 10682 97085
0 84612 487767
0 45717 600636
0 63725 494736
1 73807 94317
0 39295 796789
1 752 2601
1 19084 62457
1 11245 92261
0 56791 822193
0 11208 711619
0 29095 731958
0 30680 804223
1 25050 25729
1 56948 59913
1 76990 84970
1 81254 82021
1 92385 97272
0 18442 663361
0 85927 175119
1 8943 84719
1 2226 67607
1 21760 25092
1 15432 66786
1 5565 24124
0 28442 863291
1 33152 54861
0 42036 392796
1 75010 85124
1 18830 48206
0 52453 14692
0 87811 807972
0 23446 486251
1 27163 80538
1 11678 67061
0 38259 80916
0 49758 77634
0 78579 368378
1 43599 77341
1 14678 57257
1 31019 77286
1 35701 40116
0 50392 963269
1 29157 64065
1 8533 94871
0 16597 350140
0 31481 341032
0 31921 367832
1 95987 96689
0 16928 600822
0 86949 6562
0 70567 255576
1 10751 21221
0 68779 10966
1 60471 70516
0 11651 19878
0 23385 812700
1 3102 65367
0 91242 533949
1 13724 42576
1 72417 92389
1 93211 99559
1 62807 66922
0 88060 225378
0 35254 356993
1 25688 38837
1 7467 24572
0 35889 411843
0 42877 219817
1 9906 68637
1 26680 78398
1 4644 73633
1 2988 22437
0 65892 445498
1 16847 17307
1 39938 44476
0 85306 339875
0 93747 80174
0 45984 497843
0 13797 11831
1 39712 99982
0 71445 895189
0 39773 744201
0 13095 47060
0 64463 181513
0 24255 432494
0 47489 530581
0 94848 471065
1 17845 19807
1 51024 57769
0 22725 273578
0 5747 646856
0 16662 769730
0 82420 55845
1 2409 9083
0 39787 595535
1 7816 8381
1 5703 54297
1 53027 70655
1 18337 22120
1 23028 42423
0 3009 614360
1 20058 76107
0 98183 669652
1 54066 63722
1 77640 77676
1 7726 29137
0 27464 283939
0 22639 522343
0 60905 431614
1 41132 58982
0 83305 6931
0 84680 861092
1 1744 11521
1 957 73370
1 27126 91998
1 75199 92705
0 91779 217358
0 35776 428250
1 33584 44035
0 20824 457913
1 25343 72863
0 80029 68393
0 34338 468973
1 17048 73531
0 19684 99288
0 83419 73486
1 22302 22845
0 84212 312151
1 6736 29934
0 4226 324690
0 60385 223468
1 32991 42617
0 54416 302441
1 46008 90208
0 35344 528745
1 10792 31264
1 12994 71301
0 51406 904625
1 26898 89909
1 61129 72971
0 64601 575210
0 72448 691110
1 55292 68415
0 4770 873152
1 69678 90899
1 27355 62945
1 44552 91108
0 44005 425336
1 11050 68796
0 22867 869873
1 27315 71181
0 39559 386781
0 37054 361785
1 82237 97221
1 38008 60006
1 4298 73352
0 6083 97932
1 18462 22504
0 50301 454092
0 2210 492215
1 34204 88917
0 70262 320687
0 14030 681292
0 30798 94575
1 52016 76772
1 21074 79603
1 42089 54168
1 7634 79776
1 661 62050
1 3272 29723
0 84887 246124
1 18041 26536
0 7920 372396
1 66038 97825
0 4140 96086
1 44976 67042
1 9542 24359
0 98906 756339
0 71460 745003
1 46191 84212
0 14658 225023
1 4355 82411
1 14128 49102
1 34295 66207
1 31673 64804
0 36540 774772
1 48336 83268
1 14032 72377
1 7339 29658
1 31566 37252
0 39328 854079
1 47492 75110
1 8329 68994
1 38744 64598
0 14354 258327
1 51443 70326
0 40712 534892
1 6218 52002
0 81073 101866
1 11479 76001
1 14378 16383
0 16769 39736
1 21272 44802
1 4482 66259
0 58923 173609
1 15556 64834
0 65582 201468
1 28401 28712
0 23465 118446
0 28963 662611
1 14612 29864
1 21418 28176
1 9709 78648
0 52875 555603
0 81409 856527
1 64834 78815
1 1254 9909
0 89632 430314
1 1263 19179
1 37711 51958
1 46289 68128
1 35802 80964
1 48863 59933
0 33042 306768
1 613 4397
1 80714 93739
0 14359 228739
0 66809 193145
0 33237 136992
1 67390 96922
1 86743 89882
0 26545 73670
0 27490 255451
1 67736 88321
0 39684 575515
0 77291 541568
0 81593 265244
0 79162 884953
1 3530 57911
0 6695 544128
0 61884 977728
1 51023 52250
1 25374 63315
1 13248 73557
1 14384 16571
0 14759 128222
1 56810 79876
1 10079 11246
1 65823 80438
1 53165 92743
1 24551 91707
0 55250 357783
0 55509 29468
1 6705 38336
1 26977 41032
1 32100 52452
0 87860 982647
1 55885 60290
1 49848 61356
1 15095 21067
0 94905 955514
1 12230 46166
0 19045 48395
0 13184 136776
0 2954 384587
1 19968 45795
0 72641 421632
0 99211 436213
0 24888 202746
0 38320 511935
0 74816 46774
1 16487 90170
1 61673 83157
0 59641 817869
1 735 91643
1 24260 43310
1 41841 46270
0 62967 679772
1 124 77549
1 41497 53328
1 18201 91300
0 14896 513101
0 20979 117603
1 6762 52410
1 80083 96580
1 36057 46253
1 6673 99603
1 290 70304
0 26222 31674
1 21160 61098
0 47891 284653
1 99220 99722
1 42643 56410
0 92703 872265
0 99127 654020
1 30378 80337
0 17506 351103
1 48514 78495
0 63495 550808
1 28498 37120
1 4224 87871
1 29668 93145
1 78923 90778
1 1974 65313
0 42018 800400
0 24937 383333
1 95292 97177
0 37526 1467
0 51193 172613
0 86415 622125
0 66881 616604
1 13575 90757
0 74239 199671
0 5126 850417
0 53003 905047
1 35183 84486
1 90554 94847
0 32871 307106
1 51586 52273
0 74763 168135
1 4621 10533
1 44846 71053
0 71359 319700
1 23155 62539
0 2108 538659
1 43162 78293
0 93290 363944
0 576 32368
1 57416 87971
1 27210 35856
1 39326 73583
0 67556 751602
0 84314 153983
1 32306 66556
0 82244 468961
0 41719 916844
0 61416 315711
0 72864 942500
0 66821 609253
1 30839 81377
1 50741 61099
