1002 10000
0 433 59102
1 191 608
1 799 964
1 0 366
0 638 95679
1 267 605
1 466 990
1 90 835
1 222 546
0 106 96184
0 810 39516
0 655 16711
1 185 719
1 452 883
1 489 636
1 155 964
0 461 99875
0 37 20069
1 16 537
1 781 935
1 127 798
1 37 451
1 5 897
1 310 976
0 104 41474
0 924 99839
1 853 971
0 105 73304
1 251 741
0 597 67108
0 990 68912
0 537 61418
1 18 871
0 762 74566
0 221 81337
1 442 844
0 343 33038
1 562 821
1 200 963
1 117 324
1 133 971
1 56 986
1 47 682
0 124 82484
1 354 503
1 315 475
0 489 29736
0 260 84471
0 259 46425
1 71 747
0 586 92182
0 137 22223
0 206 22061
0 474 16546
1 258 425
0 266 33991
0 685 55579
1 66 684
0 629 14286
1 5 474
0 342 40395
0 194 65942
1 211 679
1 192 923
0 643 89296
1 315 981
0 871 19823
0 792 13072
0 776 18645
1 173 773
1 20 533
0 296 84352
0 349 49942
1 59 426
1 244 673
1 319 757
1 439 895
1 278 680
1 89 481
0 751 77719
0 362 91794
1 32 741
0 535 92378
0 795 75872
1 70 411
0 498 34534
0 919 72072
0 820 33862
1 12 646
1 76 834
1 227 362
0 271 55105
1 210 923
0 557 62414
1 410 941
1 757 877
1 1 389
1 37 130
0 752 32683
1 244 597
0 411 86387
0 379 61217
1 422 685
0 898 87605
1 45 798
0 224 98767
0 722 83930
0 532 73056
1 176 469
0 419 35500
1 188 880
0 348 78928
0 432 56506
0 473 96907
1 269 487
1 126 483
0 639 94268
0 45 46132
1 135 429
1 229 555
0 97 83278
1 690 967
0 628 11037
1 875 987
1 487 984
0 434 36794
0 243 65093
0 77 16454
1 281 920
0 117 89638
0 544 37944
0 470 78008
1 140 890
0 183 59344
0 324 5288
0 730 56660
1 287 891
0 689 98816
0 429 86364
1 42 160
0 368 51783
0 332 12170
1 25 779
0 665 36080
0 389 94766
0 831 5733
0 49 83872
1 154 625
1 339 794
1 16 714
0 594 27367
1 308 985
1 302 699
1 3 247
1 52 719
0 587 50373
1 282 841
0 561 86995
0 411 51919
1 16 844
1 584 934
1 64 248
0 171 20070
0 83 81764
0 451 32027
1 65 805
0 152 41736
1 205 913
1 518 884
0 788 93170
0 767 4565
0 257 91067
0 913 88514
1 73 757
1 33 645
0 666 76013
0 107 27897
1 143 585
1 170 847
0 943 5679
1 137 978
1 126 374
1 24 699
1 267 852
0 184 51556
0 27 37074
1 0 875
1 53 884
1 86 731
0 178 59974
1 11 715
