99999 100000
1 37452 71940
1 61367 96595
0 98531 10941
1 32762 98246
0 77792 49519
1 55012 72503
1 2626 90346
0 25389 92363
0 46280 24552
1 1231 74067
0 18104 50614
0 78976 74749
0 77054 76165
1 38754 74749
1 60583 96802
0 69997 72561
0 13322 22673
1 7990 94507
1 18247 69979
1 76771 99703
1 15459 36970
1 75211 90238
0 64446 17656
1 38931 65743
0 99216 24522
1 54106 93635
0 70063 47404
1 42169 79163
1 10654 85443
1 6862 41088
1 9351 97943
0 12759 92579
0 42192 35351
0 35013 77412
1 10030 76676
0 91559 61988
0 87955 28258
1 11755 57725
1 21915 59651
0 70686 40888
0 50280 18555
0 11495 3224
1 65553 85699
1 39367 99508
1 40186 67837
1 48313 72738
0 64141 1218
0 87657 4086
0 6844 52590
0 44233 89189
1 4800 90237
1 1540 71684
1 10961 88541
1 27668 93096
0 34476 66478
1 193 78232
1 9424 79273
0 41272 81828
0 38201 65202
1 18186 84255
1 29780 93003
0 11832 78065
1 826 71412
0 5116 41125
0 75389 54149
0 18536 41683
1 7667 86359
1 62457 97008
1 13563 83083
0 92970 94567
0 54226 36455
0 72105 26680
1 15435 54122
0 31732 8339
0 45756 9955
1 48897 85949
0 8251 35027
1 86123 98123
0 54630 86823
1 17145 84114
0 8363 37022
0 5579 16690
0 36048 14821
0 816 16618
0 98676 48733
1 24966 85415
1 28813 88807
0 33148 10845
1 34348 37772
1 3158 55581
1 28097 99690
1 78842 90202
0 76002 63617
1 22302 98497
0 3758 8621
0 36599 58001
0 8706 23786
0 39206 51595
1 19646 31190
1 21130 98886
1 2852 45998
0 30652 80036
0 87655 97102
1 16338 98012
0 83606 13232
0 21181 92759
0 20232 21279
0 70087 16935
0 71307 52680
0 45213 67544
1 21809 58573
1 42251 99988
0 36489 9611
1 8123 96726
0 75559 40820
0 91818 76265
0 10879 1311
1 54808 87552
1 21527 98110
1 15455 66443
0 20228 19690
1 15307 78352
1 9044 80301
0 96969 63273
1 571 62709
1 5062 31932
0 8792 5816
0 42834 79451
0 35081 50104
1 3622 86307
1 57656 89017
1 54325 75957
1 67644 73809
1 484 63564
0 23994 21385
0 70925 27686
1 27910 58595
1 4040 40292
1 7261 89325
0 54390 63290
0 89558 14447
0 50026 170
1 89210 98465
1 26174 87651
1 22710 62212
0 35953 8314
1 10940 58513
1 13698 76230
1 67189 78933
1 20508 72981
1 60455 99425
0 21309 14967
0 65994 50812
0 5516 25342
1 1226 57728
1 34601 81258
0 70114 36716
0 12099 99047
0 25585 37123
1 1612 72558
1 90160 99982
1 13331 99098
0 25333 8804
1 21078 93113
1 79323 88324
1 12701 78062
0 77119 35274
0 52360 45415
0 917 1487
1 56263 96984
0 56961 90120
0 81359 16764
0 97873 63745
1 29926 96878
0 94689 26997
1 37519 99643
0 38719 77198
1 30928 50574
1 36829 55503
0 38186 89263
0 25234 48601
1 24259 83953
0 58946 77135
1 16550 39628
0 26277 70754
1 7228 28923
0 6868 52673
1 7594 95001
1 7149 85886
0 31721 56351
1 74274 92807
0 5640 99121
0 96978 42054
1 18712 99908
1 72272 95647
1 38769 72681
1 71711 98942
1 40838 99741
0 26054 91232
0 1335 50997
1 17427 83120
0 8776 19337
1 17573 99498
1 867 5202
0 74310 25190
0 58975 52623
0 81708 42286
1 43778 82211
1 20099 60271
0 18895 91338
1 30158 67407
0 11965 41943
1 5337 61746
0 81453 93300
1 20246 61588
1 14647 56275
0 71149 91574
1 55822 97399
0 68976 19134
0 42645 97630
1 12270 95503
1 26244 62434
0 37565 50593
0 42642 23493
0 31349 17075
0 16312 98150
1 19794 65386
1 4376 71798
0 90261 93389
1 10814 69586
0 41791 56851
1 7241 93442
1 40214 99278
0 13423 6254
0 40350 40681
1 70663 89225
1 63757 96817
1 4860 39681
1 64270 78326
0 20624 37714
0 43646 65282
1 68506 96040
1 5243 62440
0 31171 97598
1 8100 63529
0 7554 48121
0 91723 348
0 86307 24257
0 50893 78102
0 88954 76034
0 14315 61031
1 28743 98888
1 35184 84667
1 40596 48938
0 58658 89799
0 26609 19173
0 54201 2431
1 2210 28968
0 55753 11283
1 16852 89799
0 62521 86546
0 3394 41912
1 29638 56540
0 69760 20466
1 26195 48914
1 2048 16769
1 21922 93734
1 5533 11116
1 55424 66661
1 24297 65442
0 14215 99036
1 11533 50002
1 64550 89567
1 89614 99983
0 57421 27267
0 76194 41124
0 28248 83119
0 7876 65236
0 36854 75563
1 13112 74386
0 52318 71037
1 5533 77940
0 93742 95030
1 43650 99460
0 6866 14958
0 44491 85177
1 3218 38513
0 86394 69359
0 14614 56295
0 69589 37094
1 18416 92090
1 12180 94891
1 2814 92933
1 12548 91887
1 1690 73738
0 38363 9959
0 16009 43977
0 13021 56863
1 60652 88210
0 58794 29558
0 86990 33591
1 60395 94881
1 72356 94640
1 43686 68318
0 2372 74882
1 4825 77173
0 83904 75674
1 38123 84766
1 4948 82642
1 19027 96823
1 4241 16457
0 59085 47169
0 80418 91425
1 7478 99482
0 5483 94424
0 386 1523
0 81160 4095
1 43164 89568
0 60726 37582
1 34341 53883
0 1301 10129
0 19227 93822
1 15168 59850
1 30164 60323
1 74708 84299
1 33819 91427
0 46095 23680
0 75147 16499
1 1185 25150
0 82008 2866
0 47290 99140
0 10547 41960
1 47880 99979
1 53063 90969
0 62946 26102
0 64956 17030
1 52996 94209
1 7347 68344
1 53835 88148
1 4207 30186
1 45415 90061
1 12676 90228
1 25779 82316
0 20999 56466
0 40385 1542
0 23947 77842
0 64605 1735
1 41284 89887
0 80640 16499
1 21376 63122
1 33734 45879
0 31462 94808
1 32361 91828
1 15407 79517
1 34606 80857
1 17639 64200
1 9504 97543
0 21151 46474
1 1529 10353
1 23573 65988
0 11610 40280
0 58942 96370
1 10796 47523
1 15097 92375
1 66028 98736
0 16045 9110
0 46736 87142
0 45160 92837
1 2638 64568
0 89572 22571
1 44947 59123
0 60251 95865
0 31282 62356
1 33636 70763
1 19997 43811
0 60095 37610
1 48710 98625
1 77622 99681
1 71939 91125
0 29353 65108
1 41991 98772
0 63278 90377
0 53660 37848
1 30781 73798
0 19706 17864
0 36684 63060
1 895 21686
